Event Name,,Event Code,,,Howen Product Models (Y: Yes/Supported;  Blank: not supported),,,,,,,,,,,,,
Main type,Sub type,  H-Protocol,,VSS API,MC series,ME series,,,,,,,,,MA series,,,
,,"Main code
(ec)","Sub Code
(tp, dt, …)",,MC30-01,ME31-08 V5,"ME40-02 V3, V3C","ME40-02 V8, V8C",ME41-02N,"ME40-04N
ME30-04N",ME40-04N2,"ME41-04N
ME32-04N",ME4104AI,"ME35-04
ME35-08",MA80-08V1,"MA80-08 V2
MA80-08 V3",ME80-04,MA81-08
Unknown,,0,,0,,,,,,,,,,,,,,
video lost ,,1,,1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
motion detection ,,2,,2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y(onvif),,,,
video cover,,3,,3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y(onvif),,,,
input trigger,ch=0,4,ch=0,220,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,ch=1,,ch=1,220,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,ch=2,,ch=2,221,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
,ch=3,,ch=3,222,,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
,ch=4,,ch=4,223,,Y,,,,,,Y,Y,Y,Y,Y,Y,Y
,ch=5,,ch=5,224,,Y,,,,,,Y,Y,Y,Y,Y,Y,Y
,ch=6,,ch=6,225,,Y,,,,,,Y,Y,Y,Y,Y,Y,Y
,ch=7,,ch=7,226,,Y,,,,,,Y,Y,Y,Y,Y,Y,Y
,ch=8,,ch=8,227,,Y,,,,,,Y,Y,,Y,Y,Y,Y
emergency alarm ,,5,,5,,Y,,,,,,,,,,,,
low speed alarm ,,6,,6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
over speed alarm ,,7,,7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
low temperature alarm,,8,,8,,,,,,,,,,,,,,
high temperature alarm ,,9,,9,,,,,,,,,,,,,,
humidity alarm,,10,,10,,,,,,,,,,,,,,
parking over time ,,11,,11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Vibration (Gsensor) ,x direction,12,dt=1,12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,y direction,,dt=2,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,z direction,,dt=3,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,impact,,dt=4,217,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,rollover,,dt=5,218,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
