Updated: 2025-12-03,,,Version 1.4,
,,,,
Event Category,Event Code,Event Code Notes,Device Notes,
Panic,PANIC,Panic button pressed,,
,PANIC:EMERGENCY,Emergency Behaviour,GoSafe Only,
Speeding,SPEEDING,,,
,SPEEDING:START,,,
,SPEEDING:END,,,
,SPEEDING:START:ZONE,,,
,SPEEDING:GRACE,Speeding but in grace period,,
,SPEEDING:END:ZONE,,,
Zones,ZONE:ENTER,,,
,ZONE:EXIT,,,
,ZONE:ENTER:x,x = A zone number,,
,ZONE:EXIT:x,x = A zone number,,
,ZONE:UNKNOWN_EVENT,,,
,ZONE:SAFEZONE:ENABLED,,,
,ZONE:SAFEZONE:DISABLED,,,
,ZONE:SAFEZONE:ALARM,,,
,SAFE-ZONE:MONITORED:ALARM,Safe-zones monitored on WebSentinel,,
,ZONE:NO_GO,Vehicle entered a no-go zone,,
,ZONE:FORBIDDEN_EXIT,Vehicle left a zone that it is forbidden from exiting from,,
,ZONE:SPEEDING,Vehicle is speeding in a zone,,
,ZONE:FORBIDDEN_STOP,Vehicle stopped in a zone where it is forbidden to stop,,
,ZONE:DELAYED_STOP,Vehicled stopped in a zone for longer than allowed,,
Idling,IDLING:START,,,
,IDLING:END,,,
Towing,TOWING:START,,,
,TOWING:END,,,
Parking,PARKING:START,,GoSafe Only,
,PARKING:END,,GoSafe Only,
Trips,TRIP:START,,,
,TRIP:END,,,
,TRIP:TYPE:BUSINESS,,,
,TRIP:TYPE:PRIVATE,,,
,TRIP:TYPE:CUSTOM,A custom value is supplied with the event code.,,
,TRIP:UNKNOWN,Unknown trip status,,
ACC + Ignition,ACC:ON,Ignition turned to ACC,,
,ACC:OFF,Ignition turned off,,
,IGNITION:ON,Ignition On,,
,IGNITION:OFF,Ignition Off,,
Battery,BATTERY:CONNECTED,Normally refers to external battery,,
,BATTERY:DISCONNECTED,Normally refers to external battery,,
,BATTERY:LOW,Normally refers to internal battery,LKGps and Foxy Only,
,BATTERY:LOW:INT,INT = Internal Battery,,
,BATTERY:LOW:EXT,EXT = External Battery,,
,BATTERY:ABNORMAL:EXT,EXT = External Battery,,
,BATTERY:OK:EXT,EXT = External Battery,,
,BATTERY:ABNORMAL:INT,INT = Internal Battery,GoSafe Only,
,BATTERY:OK:INT,INT = Internal Battery,GoSafe Only,
,BATTERY:CHARGING:INT,INT = Internal Battery,GoSafe Only,
,BATTERY:DISCHARGING:INT,INT = Internal Battery,GoSafe Only,
,BATTERY:SHUNTING,,DMT Only,
Accidents,COLLISION,,,
,COLLISION:DETECTED,,Teltonika Only,
,COLLISION:LIMITED_NOCALIB,Limited crash trace (device not calibrated),Teltonika Only,
,COLLISION:LIMITED_CALIB,Limited crash trace (device is calibrated),Teltonika Only,
,COLLISION:FULL_NOCALIB,Full crash trace (device not calibrated),Teltonika Only,
,COLLISION:FULL_CALIB,Full crash trace (device is calibrated),Teltonika Only,
,COLLISION:NOCALIB,Device not calibrated,Teltonika Only,
,COLLISION:FRONT,,GoSafe Only,
,COLLISION:REAR,,GoSafe Only,
,COLLISION:TURN_OVER,,GoSafe Only,
Harsh Driving,HARSH:BRAKING,,,
,HARSH:ACCELERATION,,,
,HARSH:CORNERING,,,
,HARSH:DRIVING,,,
,FOLLOWING:DISTANCE:VIOLATION,Following distance violation,Cathexis Only,
Imobilizer,IMMOBILIZER:CONNECTED,,,
,IMMOBILIZER:DISCONNECTED,,,
,IMMOBILIZER:AUTHORIZED,,Teltonika Only,
Jamming,JAMMING,Single Jamming Indicator,,
,JAMMING:START,,,
,JAMMING:END,,,
Alarms,ALARM,A programmable generic alarm event occurred.,,
,ALARM:ZONE,,,
,ALARM:DOOR_OPEN,,C-Obd Only,
,ALARM:SHOCK,,C-Obd Only,
,ALARM:ACC,,C-Obd Only,
,ALARM:BONNET,,C-Obd Only,
,ALARM:FOOTBRAKE,,C-Obd Only,
,ALARM:DEVICE:REMOVED,,GoSafe Only,
,ALARM:VIBRATION,,LKGps Only,
,ALARM:MOVEMENT:NONE,,Foxy Only,
,ALARM:HARDWARE:FAULT,,,
,ALARM:TAMPERING,,,
Buttons,BUTTON:ALARM:CLICK,Alarm button pressed,Teltonika Only,
,BUTTON:ALARM:DOUBLE_CLICK,Alarm button double pressed,,
,BUTTON:ALARM:HOLD,Alarm button long pressed,,
,BUTTON:POWER:CLICK,Power button pressed,,
,BUTTON:POWER:DOUBLE_CLICK,Power button double clicked,,
,BUTTON:POWER:HOLD,Power button long pressed,,
,BUTTON:x:CLICK,"x = 1 to 3, i.e. Button 1, 2, or 3 pressed",,
,BUTTON:x:DOUBLE_CLICK,"x = 1 to 3, i.e. Button 1, 2, or 3 double clicked",,
,BUTTON:x:HOLD,"x = 1 to 3, i.e. Button 1, 2, or 3 long pressed",,
Beacons,BEACON:LOST,,,
,BEACON:LOST:ALARM,,,
,BEACON:FOUND,,,
Tags,TAG:ENTERING,,GoSafe Only,
,TAG:LEAVING,,GoSafe Only,
,TAG:RF_PAIRED,Tag is RF paired,GoSafe Only,
,TAG:RF_PAIRED:NO,Tag is not RF paired,GoSafe Only,
,TAG:BATTERY:LOW,Tag battery voltage low,GoSafe Only,
,TAG:BATTERY:OK,Tag battery voltage ok,GoSafe Only,
OBD II,OBDII:DTC:YES,,GoSafe Only,
,OBDII:DTC:NO,,GoSafe Only,
Engine,ENGINE:RPM:HIGH,Engine overrevving.,,
,ENGINE:RPM:OK,,,
,ENGINE:TEMP:HIGH,,,
,ENGINE:TEMP:OK,,,
,ENGINE:OIL:CHANGE,,,
,ENGINE:OIL:OK,,,
,ENGINE:ON,,,
,ENGINE:OFF,,,
,IDLING:START,Idling started,Cathexis Only,
,IDLING:END,Idling stopped,Cathexis Only,
,IDLING:PERIODIC,Idling periodic,Cathexis Only,
Tires,TIRES:CHANGE,,,
,TIRES:OK,,,
Service,SERVICE:DUE,,,
,SERVICE:OK,,,
GPS,GPS:LOCKED,,,
,GPS:TIMEOUT,GPS Lock could not be found,,
,GPS:FAULT,,,
Cigar Lighter,CIGAR_LIGHTER:PLUGGED_OUT,,,
,CIGAR_LIGHTER:PLUGGED_IN,,,
A/D Converters,AD:OK:x,"Analog/Digital Input Ok: x = number, e.g. 1,2,3...",,
,AD:ABNORMAL:x,"Analog/Digital Input Abnormal: x = number, e.g. 1,2,3...",,
Digital Inputs,INPUT:ON:x,"Digital Input: x = number, e.g. 1,2,3,4",,
,INPUT:OFF:X,"Digital Input: x = number, e.g. 1,2,3,4",,
Temperature Sensor,TEMP:LOW,,,
,TEMP:HIGH,,,
PTO,PTO:ON,,,
,PTO:OFF,,,
Other,DIN2_AIN2,Generates after spec DIN2/AIN2 scenario,Teltonika Only,
,MANDOWN:ACTIVE,Unknown use,Teltonika Only,
,MANDOWN:INACTIVE,Unknown use,Teltonika Only,
